DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2018-Q1,8.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2018-Q2,8.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2018-Q3,8.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2018-Q4,7.9,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2019-Q1,7.8,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2019-Q2,7.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2019-Q3,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2019-Q4,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2020-Q1,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2020-Q2,7.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2020-Q3,8.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2020-Q4,8.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2021-Q1,7.9,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2021-Q2,7.8,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2021-Q3,7.4,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2021-Q4,7.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2022-Q1,6.9,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2022-Q2,6.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2022-Q3,6.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2022-Q4,6.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2023-Q1,6.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,TC,Y15-74,PC_ACT,T,EA20,2023-Q2,6.4,
