DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,RS,2022,1065000,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,SE,2022,570180,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,SI,2022,27040,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,SK,2022,19980,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,TR,2022,176650,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2022,44096.8,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2022,42611.7,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2022,22164.5,b
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2022,33272.3,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2022,31952.5,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2022,41319.1,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2022,48693.6,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2022,30526.6,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2022,23790.2,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2022,30240.6,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2022,38678.0,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2022,35768.6,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2022,26135.7,e
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2022,27037.0,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2022,82704.4,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,IS,2022,45283.0,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2022,34346.6,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2022,31782.3,
